Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Steam Condensate Pumps,Low Pressure Condensate,100,60,VS1,4,2,70,70,120,1.9,973,0,No ,No,No,,No,1,4.6,6.6,0.5,-0.517,100,25,71,1450,30,243,No,23 + 61,20,S-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-445-P-1-AB,DeepBlue,LDB 200-80X4-A-V,GA\Bushehr-Gas-Sweetening\05-445-P-1.pdf
Low Pressure Condensate Pumps,Low Pressure Condensate,14.3,112,OH3,1,2,50,50,50,0.2,988,0,No ,No,No,,No,1.3,4.7,12,11,2,17.5,4.5,23,2950,30,290,No,14 + 61,40,S-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-445-P-2-AB,DeepBlue,EAP 25K2-315-L,GA\Bushehr-Gas-Sweetening\05-445-P-2.pdf
Deethanizer Reflux Pump,Hydrocarbons,137,126,OH2,1,8,9,9,9,30,403,0.06,No,No,Yes,,No,29.1,39.29,34.1,3.11,1.94,145,37,56,2950,55,331,No,11 + 53M +  61,80,A-8,No,,Ex n IIB T3,SP 20-21,105-P-102-202-302-402-AB,Deep Blue,APIFLO-180HDD130 ,GA\SP-20-21\105-P-102-202-302-402-AB.pdf
Lean Caustic Circulation Pumps,Caustic Solution,16.2,125.9,OH2,1,4,50,50,50,0.1,1139,0.88,Yes,No,No,,No,5.8,9,18.85,8,2,20.2,10,20.9,2950,45,311,No,11 + 53 + 61,42,S-5,,,Ex n IIB T3  ,SP 09-10,113-P-113-213-AB,Flowserve,1.5HPX13A,GA\SP-09-10\113-P-113-213-AB.pdf
Sour Water Transfer Pump,Water / HC,16.5,46,VS4,1,1,10,10,10,0,1000,2,Yes,Yes,Yes,No,No,0.8,3.97,1.98,,1.12,28.4,6.9,49,2950,7.5,192,No,14 + 53A,40,A-8,No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-0005,Roodhart,RCVS4-40-200,
Hydrocarbon Closed Drain Pump,Water / HC,27.5,92,VS4,1,1,15,15,15,0,1000,2,Yes,Yes,Yes,No,No,0.4,4.18,5.45,,1.08,30,7.9,39.8,2960,30,282,No,14 + 53A,40,S-8(LCB),No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-0006,Roodhart,RCOH4-40-315,
Amine Close Drain Pump,Lean Amine,5.5,60,VS4,1,1,10,42,42,0.14,1045,9,Yes,Yes,Yes,No,No,0.4,3.8,4.3,,2.41,15.4,3.8,20.1,2950,15,246,No,14 + 53A,40,S-8,No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-0007,Roodhart,RCVS4-25-250,
Caustic Close Drain Pump,Caustic Solution,4,17.5,VS4,1,1,30,48,48,0.1,1423,20,Yes,No,No,No,No,0.03,7.2,1.46,7.2,2.14,48.4,1.8,44.5,3000,15,192,No,11 + 53A,40,S-5,No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-0008,Roodhart,BNO 80-251,
Lean Caustic Circulation Pumps,Caustic Solution,16.2,125.9,OH2,1,4,50,50,50,0.1,1139,0.88,Yes,No,No,,No,4.8,8,17.85,2.6,0.6,19,4,29,2950,30,317,No,11 + 53 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,113-P-113-213-AB,IIP,OHC 25-315 ,GA\SP-20-21\113-P-113-213-AB.pdf
C3+ Cut Pumps,C3+ Cut + Mercaptans,88,292.2,BB2,2,3,40,40,40,12.65,486,0.09,No,No,Yes,Yes,No,0.4,2.5,7.5,10,2.85,100,36,54,2950,90,335,No,11 + 53B,40,S-5(LCB),No,Level 3,Ex d IIB T3 ,Ilam SRU,30-P-1002-ABC,Roodhart,RCBB2-150-100-330,GA\Ilam-SRU\30-P-1002-ABC.pdf
Desalinated Water Distribution Pumps,Desalinated Water,326,125.6,OH2,1,2,45,45,45,0.12,990,0.6,Yes,No,No,,No,-0.05,1.13,12.15,,4.8,420,60,76,2950,200,313,No,11 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,126-P-101-AB,IIP,OHC 150-315 ,
C3 Splitter Reflux Pump ,Propylene,1463,125,OH2,1,2,46,46,46,18.8,467,0.07,No,,,,No,18.06,18.06,23.78,6,4.7,,500,81.3,1489,315,632,No,11 + 52,40,S-6,,,Ex n IIB T3,Marun,10-P-4371-AB,Ruhrpumpen,SVN8 12x27 ,GA\Marun\10-P-4371-AB.pdf
