Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Fresh Caustic Soda Transfer Pump,Caustic Soda - 7% (40%),40,336,OH6,1,1,50,50,50,0.15,1420,23,Yes,No,Yes,,No,1,1.59,39.8,5.3,2.86,40,14.2,50.2,8550,135,152,Yes,11 + 62,70,A-8,,,Ex n IIB T3  ,SP 09-10,146-P-107,Sundyne,LMV 311Z,GA\SP-09-10\146-P-107.pdf
Refrigerant Area Drain Drum Pump,Propane / Butane,15,59.7,VS1,4,1,-6,-6,-6,1,601,0.22,No,No,No,,No,1.06,1.57,4.25,2.1,0.6,19,5.5,41.7,1450,5.5,232,No,13 + 53,40,LTCS,,,Ex n IIA T3,SP 09-10,147-P-107,Gabbioneta,VBN 250/50-4,GA\SP-09-10\147-P-107.pdf
Tank Area Drain Drum Pump,Propane / Butane,15,59.4,VS1,4,1,-6,-6,-6,1,601,0.22,No,No,No,,No,1.06,1.57,4.25,2.05,0.6,19,5.5,41.7,1450,5.5,232,No,13 + 53,40,A-7,,,Ex n IIA T3,SP 09-10,147-P-108,Gabbioneta,VBN 250/50-4,GA\SP-09-10\147-P-108.pdf
Water Pump,Process Water,8.7,43,OH2,1,2,45,45,45,1.5,987,0.6,No,,,,No,0.73,0.73,4.89,2.5,1.5,,0.9,34,2900,5.5,190,No,11 + 61,40,A-8,,,Ex n IIB T3,Marun,10-P-2072-AB,KSB,RPH 25-230 ,GA\Marun\10-P-2072-AB.pdf
Sump Pump,Sour Hydrocarbon Condensates,18,97.4,VS1,2,2,25,25,48,1,674,0.3,Yes,Yes,Yes,,No,0,8,3.6,1.62,0.95,18,3,35,2950,22,174,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,100-P-101-201,Deep Blue,APIFLO-VB  20-35X3-V ,GA\SP-20-21\100-P-101-201.pdf
Sump Pump,Glycolated Water,15,97.4,VS1,2,2,25,25,48,1,1100,5,Yes,Yes,Yes,,No,0,8,6,1.62,0.95,18,3,35,2950,22,174,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,100-P-101-201,Deep Blue,APIFLO-VB  20-35X3-V ,GA\SP-20-21\100-P-101-201.pdf
Polished Butane Booster Pumps,Butane,53,42.6,OH2,1,4,40,40,40,4.5,545,0.13,No,No,Yes,,No,7.69,24.01,9.97,,2.2,53,8,68,2950,7.5,193,No,11 + 52 + 61,40,S-8,No,,Ex n IIB T3,SP 20-21,115-P-105-205-AB,IIP,OHC 50-200 ,
Spillage Pit Pump,Oily Water,30,48.9,VS1,2,2,5,48,48,1,1080,5,Yes,Yes,Yes,,Yes,0.1,0.4,4.7,2.18,1.5,30,8,41,2950,15,157,No,13 + 53,40,A-8,Yes,,Ex n IIB T3,SP 20-21,100-P-106-206,Deep Blue,APIFLO-VB 30-35X2-V-A ,GA\SP-20-21\100-P-106-206.pdf
Spillage Pit Pump,Spillage Liquid,30,48.9,VS1,2,2,5,48,48,1,1080,5,Yes,Yes,Yes,,Yes,0.1,0.4,4.7,2.18,1.5,30,8,41,2950,15,157,No,13 + 53,40,A-8,Yes,,Ex n IIB T3,SP 20-21,100-P-106-206,Deep Blue,APIFLO-VB 30-35X2-V-A ,GA\SP-20-21\100-P-106-206.pdf
Amine HP Pump,Lean Amine,341,744.4,BB3,5,8,40,40,40,0.14,1035,4.5,Yes,Yes,Yes,,Yes,-0.2,1.1,75.4,6.5,4.8,400,95,74,2950,1250,351,No,11 + 53 + 61,100,A-8,No,,Ex n IIB T3,SP 20-21,101-P-101-201-301-401-AB,Deep Blue,APIFLO-MK 380-140X5 ,GA\SP-20-21\101-P-101-201-301-401-AB.pdf
Steam Condensate Pump,Water,20.9,42.4,OH2,1,4,155,155,155,5.5,911,0.17,Yes,No,No,,No,4.8,9.47,8.6,2.63,1,25,2.7,48,2915,7,187,No,23 + 61,45,S-6,,,Ex n IIA T3,SP 09-10,116-P-114-214-AB,KSB,RPH / 40-231,GA\SP-09-10\116-P-114-214.pdf
Steam Condensate Pump,Water ,20.9,42.4,OH2,1,4,155,155,155,5.5,911,0.17,Yes,No,No,,No,3.8,8.47,7.6,2.28,1.5,27.5,,54,2950,5.5,191,No,23 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,116-P-114-214-AB,IIP,OHC 40-200 ,GA\SP-20-21\116-P-114.pdf
First Sour Water Stripper Reflux Pumps,Sour Water,7,42.2,OH2,1,4,95,95,127,1.8,961,0.29,Yes,Yes,No,,Yes,2.1,5,6.1,2.5,0.9,8.5,0.9,31,2895,4,187,No,11 + 53,45,D-1,,,Ex n IIA T3,SP 09-10,109-P-104-106-AB,KSB,RPH / 25-230,GA\SP-09-10\109-P-104-106-AB.pdf
Amine Sump Pump,Lean Amine,13.2,77.9,VS1,3,3,40,40,40,0.14,1031,4.5,Yes,Yes,Yes,,Yes,0.02,3.7,7.4,8.25,0.85,16,3,29,2950,15,157,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,101-P-105-105-S-205,Deep Blue,APIFLO-VB 20-35X3-V-A ,GA\SP-20-21\101-P-105-305-AS.pdf
Fresh Methanol Transfer Pump,Methanol,,42,OH2,1,1,50,50,50,0.55,750,0.4,No,No,,,No,1.12,3.81,4.2,4.5,,,,,,,,No,11 + 61,,S-6,No,,Ex n IIB T3,SP 20-21,146-P-104,IIP,OHC 40-200,GA\SP-20-21\146-P-104.pdf
Fresh Methanol Transfer Pump,Methanol,,42,OH2,1,1,5,5,5,0.5,850,1,No,No,,,No,1.13,3.85,4.47,4.5,,,,,,,,No,11 + 61,,S-6,No,,Ex n IIB T3,SP 20-21,146-P-104,IIP,OHC 40-200,GA\SP-20-21\146-P-104.pdf
Reflux Pump,Condensate Water from Acid Gas,23,41.2,OH2,1,8,55,55,55,2.1,984,0.5,Yes,No,Yes,,No,2.5,6.6,6.47,3.1,1.6,28,3,54.4,2930,7.5,187,No,11 + 53 + 61,47,A-8,,,Ex n IIA T3,SP 09-10,101-P-102-202-302-402-AB,KSB,RPH 40-231,GA\SP-09-10\101-P-102-202-302-402-AB.pdf
MEG Sump Pump,Aqueous MEG Solution,15,68.9,VS1,2,1,5,140,140,1,1100,12,Yes,Yes,Yes,,No,-0.89,-0.7,5.3,1.52,0.85,18,3,32,2950,15,174,No,13 + 53 + 61,40,S-6,Yes,,Ex n IIB T3,SP 20-21,102-P-104,Deep Blue,APIFLO-VB 20-35X2-V  ,GA\SP-20-21\102-P-104.pdf
Reflux Pump,Condensate Water From Acid Gas,18,41.2,OH2,1,8,55,55,55,2.1,984,0.5,Yes,No,Yes,,No,1.5,5.6,5.47,2.7,1.5,25,,50,2950,7.5,188,No,11 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,101-P-102-202-302-402-AB,IIP,OHC 40-200 ,GA\SP-20-21\101-P-102-202-302-402-AB.pdf
First Water Circulation Pumps,Water,12.8,41.1,OH2,1,2,40,40,40,0.1,992,0.69,Yes,Yes,Yes,Yes,No,4.8,8,17.85,10,3.65,12,3.1,32.8,2960,5.5,97,No,11 + 53B,40,S-8(LCB),No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-2002-AB,Roodhart,RCOH2-25-200,
Second Water Circulation Pump,Water,12.6,40.7,OH2,1,2,40,40,40,0.1,1003,0.68,Yes,Yes,Yes,Yes,No,1.04,5.59,5.2,10,3.57,11.9,3.1,32.5,2960,5.5,96,No,11 + 53B,40,S-1(LCB),No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-2004-AB,Roodhart,RCOH2-25-200,
Hexane Transfer Pump,Hexane,3,40,OH2,1,2,45,45,48,0.5,638,0.25,No,No,No,Yes,No,0.33,0.33,2.83,13.1,0.6,8.2,2,25.2,2881,3,185,No,32 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-754,IIP,IOH2-25-200S1,GA\Kangan-HDPE\40-P-754.pdf
Cycle Water Pump ,Cycle Water ,1350,38,OH2,1,2,89,89,89,1.15,966,0.31,No,,,,Yes,1.41,1.41,5.01,7.5,6.5,,500,74,1487,315,346,No,23,47,S-6,,,Ex n IIB T3,Marun,10-P-2374-AB,Ruhrpumpen,SVN8 12x22 ,GA\Marun\10-P-2374-AB.pdf
Desalter Feed Pumps,Hydrocarbon Condensate,346,162.5,BB2,1,4,50,50,50,28,672,0.23,Yes,Yes,Yes,,Yes,27.4,32.5,38.1,5.3,3.9,410,120,67,2950,250,351,No,11 + 53M,80,S-6,Yes,,Ex n IIB T3,SP 20-21,103-P-101-201-AB,Deep Blue,APIFLO-480HDD200 ,GA\SP-20-21\103-P-101-201-AB.pdf
Lean MEG Feed Pump,Aqueous MEG Solution,5,38,OH2,1,1,1,5,70,0.2,1098,12,Yes,No,No,,No,1,2.2,5,6.6,1,6.2,1.9,15.4,2900,5.5,187,No,11 + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,102-P-110,Flowserve,1HPX9A,GA\SP-09-10\102-P-110.pdf
Stabilised Condensate Export Pumps,Stabilized Condensate,314,75,BB1,1,4,22,37,70,0.86,800,0.4,Yes,Yes,Yes,,No,0.3,4.21,9.64,3.96,2,340,100,74,1450,132,470,No,11 + 53 + 61,40,S-6,Yes,,Ex n IIB T3,SP 20-21,103-P-103-203-AB,Deep Blue,SPLITFLO-EDS 150-500G-A ,GA\SP-20-21\103-P-103-203-AB.pdf
Sump Drum Pump,Sour Hydrocarbon Condensates,15,126.6,VS1,3,2,48,48,48,1,1070,0.1,Yes,Yes,Yes,,No,0,3.5,4.6,1.6,0.85,18,3,32,2950,30,168,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,103-P-104-204,Deep Blue,APIFLO-VB 20-35X4-V ,GA\SP-20-21\103-P-104-204.pdf
Lean MEG Feed Pump,Aqueous MEG Solution,5,38,OH2,1,1,70,70,70,0.2,1050,2,Yes,No,Yes,,No,0,1.28,3.9,6.36,3.3,6.2,0.8,26,2950,4,177,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,102-P-110,Deep Blue,APIFLO-LF 40-25-200 ,GA\SP-20-21\102-P-110.pdf
Condensate Recycle Pumps,HC Condensate,160,544,BB5,5,2,22,37,70,1.05,800,0.4,Yes,Yes,Yes,,No,0.4,4.2,32.4,4.6,3.2,185,35,70,2950,355,284,No,11 + 53 + 61,80,S-6,Yes,,Ex n IIB T3,SP 20-21,103-P-108-208,Deep Blue,APIFLO-MDG 160-120X5 ,GA\SP-20-21\103-P-108-208.pdf
Lean MEG Feed Pump,Aqueous MEG Solution,5,38,OH2,1,1,5,5,5,0.2,1098,12,Yes,No,Yes,,No,0,1.28,4,6.36,3.3,6.2,0.8,26,2950,4,177,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,102-P-110,Deep Blue,APIFLO-LF 40-25-200 ,GA\SP-20-21\102-P-110.pdf
LLP K.O. Drum Pumps,Wet Sour HC / Sour Oily Water,20,37.6,OH2,1,2,2,30,70,,600,0.4,Yes,No,Yes,,No,0.17,3.79,2.38,17,1.4,24,,52,2950,3,198,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-107-AB,IIP,OHC 40-200 ,GA\SP-20-21\140-P-107.pdf
LLP K.O. Drum Pumps,Wet Sour HC / Sour Oily Water,20,37.6,OH2,1,2,2,30,70,,1000,1,Yes,No,Yes,,No,0.33,3.98,4.02,17,1.4,24,,52,2950,3,198,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-107-AB,IIP,OHC 40-200 ,GA\SP-20-21\140-P-107.pdf
Service Water Pumps,Raw Water,22,37,OH2,1,2,20,20,20,0.02,998,1.02,No,No,No,,,0.01,0.1,3.6,7,1.6,27,4,48,2900,7.5,172,No,11,40,S-8,No,,Ex d IIB T4,Arvandan,0530-PA-001-AB,Deep Blue,APIFLO-P 40K1-200,GA\Arvandan\0530-PA-001-AB.pdf
HC Sump Drum Pump,HC Condensate,15,144.7,VS1,4,8,48,48,48,1,1000,0.06,Yes,Yes,,,No,0,3.6,5.4,1.6,0.85,18,3,32,2950,30,175,No,13 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,105-P-104-204-304-404-AB,Deep Blue,APIFLO-VB 20-35X4-V ,GA\SP-20-21\105-P-104-204-304-404-AB.pdf
Wash Oil Pump ,Wash Oil ,5.2,37,OH2,1,1,40,40,40,0.01,913,1.58,No,,,,No,0.01,0.01,3.32,14.8,1,,1,35,2900,4,166,No,11 + 61,40,S-1,,,Ex n IIB T3,Marun,10-P-2572,KSB,RPH 25-180 ,GA\Marun\10-P-2572.pdf
Sulfuric Acid Loading Pump ,Sulfuric Acid > 98 wt-% ,11,36,OH2,1,1,45,45,45,0,1860,11.21,No,,,,No,0.16,0.16,6.72,6.4,1.1,,2,47,2900,7.5,170,No,11 + 62,40,A-8,,,Ex n IIB T3,Marun,10-P-2774,KSB,RPH 40-180 ,GA\Marun\10-P-2774.pdf
HC Liquid Burner Feed Drum Water Pump,Water,7,35.8,OH2,1,1,48,48,90,1.5,990,0.5,Yes,Yes,Yes,,No,0.4,4.2,4.39,3,1.6,8.5,2,26,2950,5.5,191,No,11 + 53 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,142-P-102,Deep Blue,APIFLO-P 25K1-200 ,GA\SP-20-21\142-P-102.pdf
HC Sump Drum Pump,HC Condensate,15,129.9,VS1,4,2,30,30,48,1,1000,0.24,Yes,Yes,,,No,0,3.66,7.67,1.48,0.85,18,3,32,2950,30,170,No,13 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,107-P-104-204,Deep Blue,APIFLO-VB 20-35X4-V ,GA\SP-20-21\107-P-104-204.pdf
Amine Make-Up Pump,Lean Amine Solution,110,35,OH2,1,1,25,25,25,0.03,1022,1.77,Yes ,No,Yes,,No,-0.16,1.25,3.35,8,4.4,110,25,68,2950,22,170,No,11 + 53B,40,S-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-120-P-4,DeepBlue,EAP 100K2-200,GA\Bushehr-Gas-Sweetening\01-120-P-4.pdf
Steam Condensate Transfer Pumps,Steam Condensate,56.2,35,OH2,1,2,95,95,95,,961,2,No,No,No,No,No,0.19,4.1,6.74,2.7,0.49,62.4,15.7,55.3,1480,11,234,No,23,40,S-1,No,Level 2,Ex d IIB T3 ,Ilam SRU,30-P-0003-AB,Roodhart,RCOH2-80-400,
Depropanizer Reflux Pumps,Propane,105,333.4,BB5,5,4,60,60,60,21.6,433,0.07,No,No,Yes,,No,20.84,28.4,34.95,4.78,3,106,21,65,2950,110,240,No,53M + 61,40,S-8,No,,Ex n IIB T3,SP 20-21,107-P-107-207,Deep Blue,APIFLO-MDG 85-80X5 ,GA\SP-20-21\107-P-107-207.pdf
Flare Condensate Pump,Hexane,2,35,OH2,1,2,48,48,48,0.5,665,0.35,No,No,No,Yes,No,0.15,0.15,2.43,9.8,0.6,7.5,2,25,2881,3,176,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-881-AB,IIP,IOH2-25-200S1,
Spent Caustic Pumps,Spent Caustic,6.6,35,OH2,1,3,50,50,50,1.3,1030,0.66,No,No,Yes,No,No,1.55,1.55,5.01,2.6,1.2,11,2.8,20,2930,5.5,171,No,11 + 62,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1312-ABC,CW Hydro,HB 40x25-200H,GA\Kangan-Olefin\20-P-1312-ABC.pdf
Spent Caustic Pump ,Spent Caustic Bottoms ,24,35,OH2,1,2,43,43,43,0.09,1041,0.76,Yes,,,,No,0.57,0.57,4.14,14.5,2.2,,3.5,59,2900,5.5,170,No,11 + 62,40,A-8,,,Ex n IIB T3,Marun,10-P-2773-AB,KSB,RPH 40-181 ,GA\Marun\10-P-2773-AB.pdf
Bulk Sulphuric Acid Transfer Pumps,Sulfuric Acid 98% wt,25.3,32.1,OH2,1,2,48,48,48,0.02,1841,11.35,Yes,Yes,Yes,No,No,9.1,24,17.2,2.97,1,26,5.3,50.5,2910,11,170,No,11 + 61,50,A-8,No,Level 2,Safe Area,Kangan Utility & Offsite,87-P-7004-AB,Sulzer,2x3x7.5A-1-OHH,GA\Kangan-Utility-&-Offsite\87-P-7004-AB.pdf
Water Circulating Pump,Water,23.4,31.9,OH2,1,2,49,49,49,20.32,989,0.57,Yes,No,No,No,No,11,24,13.8,10,1.2,25.2,5.4,49.6,2915,5.5,165,No,11,,A-8,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1482-AB,Sulzer,ZF 40-200,GA\Kangan-C2-Recovery\10-P-1482-AB.pdf
HP Wet Flare Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,31.4,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,1.18,15.51,4.35,1.94,0.8,24.6,7.4,37,1475,7.5,307,No,11 + 53,42,S-8(LCB),,,Ex n IIB T3  ,SP 09-10,140-P-101-201-AB,Flowserve,2HPX13A,GA\SP-09-10\140-P-101-201-AB.pdf
Water Wash Pump,Washing Water,47.6,30.6,OH2,1,8,44,44,44,65.9,1003,0.7,Yes,No,Yes,,No,68.9,86.2,71.9,22.6,2.2,52,5.2,63.9,2940,11,165,No,53M,90,A-8,,,Ex n IIA T3,SP 09-10,101-P-103-203-303-403-AB,KSB,RPH 50-180,GA\SP-09-10\101-P-103-203-303-403-AB.pdf
Cooling Water Circulation Pumps,Desalinated Water,1100,54,BB1,1,4,2,40,85,0.07,1000,0.7,Yes,No,No,,No,2.1,4.2,7.3,4.93,6,1100,310,86.5,1450,250,438,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,108-P-701-A-D,IIP,API-HSC-300-250-480 ,
Water Wash Pump,Washing Water,47.6,30.6,OH2,1,8,44,44,44,65.9,1003,0.7,Yes,No,Yes,,No,-1,-1,70.9,22.2,2.5,50,,68,2950,7.5,160,No,53M,72,A-8,No,,Ex n IIB T3,SP 20-21,101-P-103-203-303-403-AB,IIP,OHC 50-160 ,GA\SP-20-21\101-P-103-203-303-403-AB.pdf
Diesel Pumps,Diesel Fuel Oil,12,30.6,OH2,1,2,48,48,48,0,880,10,No,No,No,,No,-0.1,0.5,2.2,2.1,5.5,14,,24,2950,5.5,165,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,131-P-101-AB,IIP,OHC 40-160 ,GA\SP-20-21\131-P-101.pdf
Water Wash Pump,Washing Water,4.4,30.4,OH2,1,4,55,55,55,24.1,988,0.51,Yes,No,Yes,,No,25.65,42.6,28.6,25.5,0.4,5.9,0.8,23,2850,4,168,No,11 + 53 + 61,48,A-8,,,Ex n IIA T3,SP 09-10,116-P-113-213-AB,KSB,RPH / 25-180,GA\SP-09-10\116-P-113-213-AB.pdf
Water Wash Pump,Water Wash,4.4,30.4,OH2,1,4,55,55,55,24.1,988,0.51,Yes,No,Yes,,No,24.65,41.6,27.6,25.5,1,5.5,1.3,20,2950,3,155,No,11 + 53M + 61,80,A-8,No,,Ex n IIB T3,SP 20-21,116-P-113-213-AB,Deep Blue,APIFLO-PG 25K2-200A ,GA\SP-20-21\116-P-113-213.pdf
LLP K.O. Drum Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,30.1,OH2,1,4,2,30,70,0.0425,1000,1,Yes,No,Yes,,No,1.8,4.97,2.98,2,1,23.1,5.9,33.7,1475,7.5,306,No,11 + 53,42,S-8,,,Ex n IIB T3  ,SP 09-10,140-P-107-207-AB,Flowserve,1.5HPX13A ,GA\SP-09-10\140-P-107-AB.pdf
Caustic Soda Feed Pump,Caustic Soda (NaOH 25wt%),2.2,30,OH2,1,2,48,48,48,0.07,1280,12,No,No,Yes,No,No,-0.02,-0.02,3.66,7.3,0.56,6.3,2,21.9,2901,3,162,No,11 + 62,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-801-AB,IIP,IOH2-25-160S1,GA\Kangan-HDPE\40-P-801-AB.pdf
Hot Blowdown Pumps,Hot Blowdown,22,30,OH2,1,2,65,93,135,0.8,980,0.43,No,No,No,No,No,1.1,2.6,3.8,3.4,1.82,27,6.5,45,2930,5.5,156,No,23 + 61,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1611-AB,CW Hydro,HB 50x40-160H,GA\Kangan-Olefin\20-P-1611-AB.pdf
Sump Drum Pump,Sour Hydrocarbon Condensates,15,111.9,VS1,4,1,48,48,150,1.01,950,1,Yes,Yes,Yes,,No,0,1.2,5.7,1.53,0.85,18,3,32,2950,15,164,No,13 + 53 + 61,40,S-6,Yes,,Ex n IIB T3,SP 20-21,110-P-103,Deep Blue,APIFLO-VB 20-35X4-V ,GA\SP-20-21\110-P-103.pdf
Caustic Circulation Pump ,Caustic Cycle ,79,30,OH2,1,3,32,32,32,0.05,1055,1.14,Yes,,,,No,19.94,19.94,23.04,15,3.5,,10,72.5,2900,15,164,No,11 + 62,40,S-8,,,Ex n IIB T3,Marun,10-P-2671-ABC,KSB,RPH 80-180 ,GA\Marun\10-P-2671-ABC.pdf
Flare Gas Condensate Pump ,Hydrocarbon/Water ,5,30,OH2,1,2,150,150,150,,670,0.4,No,,,,No,0.28,0.28,2.25,2.8,1,,1,35,2900,3,153,No,11 + 61,40,S-1,,,Ex n IIB T3,Marun,10-P-7171-AB,KSB,RPH 25-180 ,GA\Marun\10-P-7171-AB.pdf
Spent Caustic Sump Pump,Caustic Solution,30,50.7,VS4,1,3,15,50,50,0.1,1170,0.02,Yes,No,No,,No,-0.1,1.2,5,6.73,3,32,4,38,2950,22,203,No,11 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,113-P-115-115-S-215,Deep Blue,APIFLO-LC 40-200-A-17 ,
Propane Extractor Lean Caustic Pumps,Caustic Solution,6.2,186.2,OH6,1,4,40,40,40,0.1,1153,1.4,Yes,No,No,,,15.3,24,35.3,7,3.5,6.2,2,24.5,9118,22,104,Yes,11 + 53B + 61,50,A-8,No,,Ex e nA IIB T3,SP 20-21,113-P-116-216-AB,Deep Blue,EGS / L2-6/186,GA\SP-20-21\113-P-116-216-AB.pdf
Propane Settler Water Make Up Pump,Demineralized Water,15.9,275,OH6,1,2,45,45,45,0.1,974,0.54,Yes,No,No,,,5,7.3,31.3,7,4.5,16,3.5,30,12221,55,94,Yes,11 + 61,50,A-8,No,,Ex e nA IIB T3,SP 20-21,113-P-117-217,Deep Blue,EGS / L2-16/275,GA\SP-20-21\113-P-117-217.pdf
Propane Regeneration Pumps,Dry Propane,8.7,189.4,OH6,1,4,40,40,40,14,474,0.09,No,No,No,,,27.2,45.4,36,6,3.5,8.7,2,25,9100,15,105,Yes,11 + 52,60,A-8,No,,Ex e nA IIB T3,SP 20-21,114-P-101-201-AB,Deep Blue,EGS / L2-9/190,GA\SP-20-21\114-P-101-201.pdf
HC Sump Drum Pump,HC Cold Drains,15,80.9,VS1,3,2,48,48,48,1.3,1000,0.8,No,No,Yes,,No,0.3,0.5,,1.53,0.85,18,3,32,2950,15,161,No,13 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,114-P-102-202,Deep Blue,APIFLO-VB 20-35X3-V ,GA\SP-20-21\114-P-102-202.pdf
HC Sump Drum Pump,HC Cold Drains,15,80.9,VS1,3,2,6,6,48,1.01,856,0.29,No,No,Yes,,No,0,0.5,6.34,1.53,0.85,18,3,32,2950,15,161,No,13 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,114-P-102-202,Deep Blue,APIFLO-VB 20-35X3-V ,GA\SP-20-21\114-P-102-202.pdf
Propane Product Pump,Propane ,96,279,BB2,2,2,40,40,40,14,474,0.09,No,No,Yes,,No,27.3,45.5,40.3,6,3.1,118,25,60,2950,90,304,No,11 + 52 + 61,80,S-8,No,,Ex n IIB T3,SP 20-21,114-P-103-203,Deep Blue,APIFLO-100HDD285X2 ,GA\SP-20-21\114-P-103-203.pdf
Fresh MEG Transfer Pump,MDEA,,30,OH2,1,1,50,50,50,0.1,1070,3,No,No,No,,No,-0.1,0.5,3,1.74,,,,,,,,No,11 + 61,,S-6,No,,Ex n IIB T3,SP 20-21,146-P-102,IIP,OHC 40-160,
Butane Regeneration Pumps,Dry Butane,5.2,151,OH6,1,4,40,40,40,4.5,545,0.13,No,No,No,,,9.1,24,17.2,6,3.5,5.2,1.5,28,8206,7.5,104,Yes,11 + 52,50,A-8,No,,Ex e nA IIB T3,SP 20-21,115-P-101-201-AB,Deep Blue,EGS / L2-5/151,GA\SP-20-21\115-P-101-201.pdf
Butane Product Pump,Butane,47.7,615,OH6,1,2,40,40,40,4.5,545,0.13,No,No,Yes,,,9.1,24,41.9,6,5.4,47.7,12,47,11423,132,150,Yes,11 + 52,65,A-8,No,,Ex e nA IIB T3,SP 20-21,115-P-103-203,Deep Blue,EGS / L1-48/615,GA\SP-20-21\115-P-103-203.pdf
Fresh MEG Transfer Pump,MDEA,,30,OH2,1,1,5,5,5,0.1,1130,40,No,No,No,,No,-0.12,0.53,3.1,1.74,,,,,,,,No,11 + 61,,S-6,No,,Ex n IIB T3,SP 20-21,146-P-102,IIP,OHC 40-160,
TGT Amine Make-Up Pumps,Lean Amine,55,28.8,OH2,1,1,48,48,48,0.2,1040,3.6,No ,No,Yes,,No,0.01,0.96,2.9,8,2,68,9,59,2950,11,151,No,11 + 53B,40,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-5,DeepBlue,EAP 80K2-160,GA\Bushehr-Gas-Sweetening\01-130-P-5.pdf
Propane Water Recirculating Pumps,Water,5,28.7,OH2,1,4,15,40,45,0.1,1009,0.69,No,No,Yes,,No,30,45.4,32.8,7,0.3,62.5,0.8,35,2885,4,153,No,53M,49,S-5,,,Ex n IIA T3,SP 09-10,114-P-111-211-AB,KSB,RPH / 25-180,GA\SP-09-10\114-P-111-112.pdf
Propane Water Recirculating Pumps,Water,5,28.7,OH2,1,4,15,40,45,0.1,1009,0.69,Yes,No,No,,No,29,44.5,31.8,9.3,0.5,7.2,1.5,28,2950,2.2,147,No,11 + 53M + 61,52,S-6,No,,Ex n IIB T3,SP 20-21,114-P-111-211-AB,IIP,OHC 25-200 ,GA\SP-20-21\114-P-111.pdf
LP Flare Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,28.6,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,1.19,4.97,4.35,1.93,1,22.5,5.9,33.1,1475,7.5,300,No,11 + 53,42,S-8(LCB),,,Ex n IIB T3  ,SP 09-10,140-P-102-202-AB,Flowserve,1.5HPX13A ,GA\SP-09-10\140-P-102-202-AB.pdf
Amine Sump Pump,Lean Amine,8,74,VS1,3,3,55,55,55,0.23,1039,2.06,Yes,Yes,Yes,,Yes,0.03,3.6,6,7.25,0.7,9.5,2.5,14,2950,18.5,178,No,13 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,116-P-115-115-S-215,Deep Blue,APIFLO-VB 8.5-25X3-V ,GA\SP-20-21\116-P-115-215.pdf
Butane Water Recirculating Pumps,Water,2.9,28.4,OH2,1,4,40,40,45,0.1,988,0.69,Yes,No,No,,No,12,25,14.8,8,0.4,5,0.8,21,2900,3,154,No,11 + 61,48,S-5,,,Ex n IIA T3,SP 09-10,115-P-111-211-AB,KSB,RPH / 25-180,GA\SP-09-10\115-P-111-211-AB.pdf
